rep,party,district,score_2016,score_lifetime
"Forbes, J. Randy",R,VA-04,0%,4%
"Hurt, Robert",R,VA-05,3%,4%
"Goodlatte, Bob",R,VA-06,0%,6%
"Brat, David Alan",R,VA-07,0%,1%
"Beyer, Donald",D,VA-08,100%,99%
"Griffith, Morgan",R,VA-09,0%,6%
"Comstock, Barbara",R,VA-10,3%,3%
"Connolly, Gerald E.",D,VA-11,100%,97%
"DelBene, Suzan K.",D,WA-01,97%,94%
"Larsen, Rick",D,WA-02,100%,91%
"Herrera-Beutler, Jaime",R,WA-03,8%,9%
"Newhouse, Dan",R,WA-04,0%,1%
"McMorris Rodgers, Cathy",R,WA-05,0%,3%
"Kilmer, Derek",D,WA-06,97%,92%
"McDermott, Jim",D,WA-07,92%,92%
"Reichert, Dave",R,WA-08,34%,37%
"Smith, Adam",D,WA-09,82%,89%
"Heck, Denny",D,WA-10,97%,96%
"McKinley, David",R,WV-01,0%,6%
"Mooney, Alex",R,WV-02,0%,1%
"Jenkins, Evan",R,WV-03,3%,4%
"Ryan, Paul",R,WI-01,11%,11%
"Pocan, Mark",D,WI-02,100%,98%
"Kind, Ron",D,WI-03,87%,89%
"Moore, Gwen",D,WI-04,97%,93%
"Sensenbrenner, James F.",R,WI-05,0%,27%
"Grothman, Glenn",R,WI-06,0%,0%
"Duffy, Sean",R,WI-07,3%,3%
"Ribble, Reid",R,WI-08,0%,3%
"Lummis, Cynthia M.",R,WY-AL,0%,4%
